------------------------------------------------------------------------------------
导出信息：
姓名：李洪坤
支付宝账户：13697276902
起始时间：[2025-04-01 00:00:00]    终止时间：[2025-04-30 23:59:59]
导出交易类型：[全部]
导出时间：[2025-05-25 23:07:33]
共184笔记录
收入：1笔 1850.00元
支出：111笔 3352.17元
不计收支：72笔 18678.18元

特别提示：
1.本回单内容可表明支付宝受理了相应支付交易申请，因系统原因或通讯故障等偶发因素导致本回单与实际交易结果不符时，以实际交易情况为准；
2.请勿将本回单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作；
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本回单进行重复记账；
4.本回单如经任何涂改、编造，均立即失去效力；
5.部分账单如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.因统计逻辑不同，明细金额直接累加后，可能会和下方统计金额不一致，请以实际交易金额为准；
7.禁止将本回单用于非法用途；
8.本明细仅展示当前账单中的交易，不包括已删除的记录；
9.本明细仅供个人对账使用。

------------------------支付宝（中国）网络技术有限公司  电子客户回单------------------------
交易时间,交易分类,交易对方,对方账号,商品说明,收/支,金额,收/付款方式,交易状态,交易订单号,商家订单号,备注,
2025-04-30 16:08:46,退款,阿斯**店,tho***@service.aliyun.com,退款-上海南到武昌的火车票,不计收支,247.50,花呗,退款成功,2025041422001137741419613455_2530176348172463291_210826455250469132	,T6800P2530176348172463291	,,
2025-04-30 16:08:26,退款,阿斯**店,tho***@service.aliyun.com,退款-咸宁到武昌的火车票,不计收支,12.50,花呗,退款成功,2025041922001137741452880585_2536852082086463291_210802332491469132	,T6800P2536852082086463291	,,
2025-04-30 16:00:03,退款,阿斯兰票务专营店,tho***@service.aliyun.com,退款-抢票差额补款费用,不计收支,182.50,花呗,退款成功,2025041922001137741452276074_2536633884082463291_210803304144469132	,T6800P2536633884082463291	,,
2025-04-30 16:00:02,退款,阿斯**店,tho***@service.aliyun.com,退款-上海南到武昌的火车票,不计收支,377.50,花呗,退款成功,2025041922001137741452731461_2536594428424463291_210825051236469132	,T6800P2536594428424463291	,,
2025-04-30 15:59:08,退款,阿斯兰票务专营店,tho***@service.aliyun.com,退款-抢票差额补款费用,不计收支,274.00,花呗,退款成功,2025043022001137741455145189_2548242516987463291_210739838830469132	,T6800P2548242516987463291	,,
2025-04-30 15:59:07,退款,阿斯**店,tho***@service.aliyun.com,退款-上海虹桥到汉口的火车票,不计收支,488.00,花呗,退款成功,2025043022001137741450994284_2548478282575463291_210741710596469132	,T6800P2548478282575463291	,,
2025-04-30 15:58:38,退款,阿斯**店,/,退款-武昌到咸宁南的火车票,不计收支,39.00,花呗,退款成功,2025041422001137741419368050*2530838281098463291_210742970318469132	,2530838281098463291_210742970318469132	,,
2025-04-30 15:46:11,餐饮美食,上海新上铁实业发展集团有限公司,xin***@aliyun.com,SJ2F老邻居便利店,支出,12.00,花呗,交易成功,2025043022001437741451633708	,25043015461131077464525424906241	,,
2025-04-30 15:38:09,交通出行,滴滴出行,chu***@didichuxing.com,滴滴快车-张师傅-04月30日行程,支出,123.47,花呗,交易成功,2025043022001437741455423242	,210_202504308324737101112544	,,
2025-04-30 14:40:26,退款,阿斯**店,/,退款-上海南到汉口的火车票,不计收支,357.50,花呗,退款成功,2025042022001137741450606533*2536898739291463291_210790632453469132	,2536898739291463291_210790632453469132	,,
2025-04-30 12:52:53,交通出行,铁路12306,chi***@alipay.com,退款-火车票,不计收支,15.00,花呗,退款成功,2025043022001437741452025372_M2025043081448975	,M20250430216337119	,,
2025-04-30 11:39:39,餐饮美食,上海景春泰临餐饮有限公司,190***@qq.com,张江润和国际员工餐厅支付2C8F2CBAF6B94D9AAD9BB74E10E5DAB0,支出,20.80,花呗,交易成功,2025043022001437741450940401	,825043001463241	,,
2025-04-30 10:03:56,交通出行,阿斯兰票务专营店,tho***@service.aliyun.com,抢票差额补款费用,支出,274.00,花呗,交易关闭,2025043022001137741455145189	,T6800P2548242516987463291	,,
2025-04-30 09:27:55,交通出行,阿斯**店,tho***@service.aliyun.com,上海虹桥到汉口的火车票,支出,488.00,花呗,交易关闭,2025043022001137741450994284	,T6800P2548478282575463291	,,
2025-04-30 09:22:08,交通出行,铁路12306,chi***@alipay.com,退款-火车票,不计收支,390.00,花呗,退款成功,2025042022001437741455608733_M2025043075875056	,M20250420243281595	,,
